    0002   ADALBERTO ENRIQUE DUARTE MACDONALD
              ILAS DE MEXICO                            pmaldonado@renypicot.com.mx
    1189   GRUPO ALTEX, S.A DE C.V
              CUENTAS POR PAGAR                         dkawano@grupoaltex.com.mx
    1191   ELECTRÓNICA DALE DE MÉXICO, S.A DE C.V
              ANGELA CERVERA                            angela.cervera@vishay,com
              ELECTRONICA DALE CXP                      sandra.palomino@vishay.com
    1192   TECSTAR DE MÉXICO, S.A DE C.V.
              TECSTAR DE MEXICO CXP                     adriana.aguirre@mgstech.com
              TECSTAR DE MEXICO CXP                     ana.pena@mgstech.com
    1195   COMERCIALIZADORA Y DISTRIBUIDORA DE PRODUCTOS, BIENES Y SERVICIOS DE L
              COMERCIALIZADORA Y DISTRIBUCION DE PRODUCTlogisticaguzman@hotmail.com
    1198   JUAN HÉCTOR SALGADO RAMÍREZ
              HÉCTOR SALGADO                            jhectorsr1970@hotmail.com
    1200   TRANSPORTADORA DE JUÁREZ, S.A DE C.V
              ELIZABETH CENICEROS                       eceniceros@fuentes7.com.mx
              TRANSPORTADORA DE JUÁREZ                  msanchez@fuentes7.com.mx
    1201   AKSYS DE MÉXICO, S.A DE C.V
              AKSYS CXP                                 iliana.garcilazo@apsolutions.com.mx
    1202   DEMEK, S.A DE C.V
              DEMEK                                     facturas@demek.com
    1204   WATER SERVICE TECHNOLOGIES
              WATER SERVICE TECHNOLOGIES                erodriguez@waterservicetech.com
    1206   POCHTECA MATERIAS PRIMAS S.A DE C.V
              POCHTECA MATERIAS                         hfloresa@pochteca.com.mx
    1208   MUNICIPIO DE JIMENEZ
              MUNICIPIO DE JIMENEZ                      tesoreriajimenez2010_2013@hotmail.com
              MUNICIPIO DE JIMENEZ                      oficialia_jimenez@hotmail.com
              MUNICIPIO DE JIMENEZ                      mariodelfines@hotmail.com
    1210   MINERA CASCABEL S.A DE C.V
              MINERA CASCABEL                           mineracascabel@hotmail.com
              MINERA CASCABEL                           ernestomacho.2008@hotmail.com
    1211   BN PRODUCTOS MAQUINADOS Y SINTERIZADOS DE MEXICO S DE RL DE CV
              ING. DEYANIRA CARDONA                     deyanira.cardona@burgessnorton.com
    1212   DANIEL MEASUREMENT AND CONTROL INC
              EDUARDO GONZALEZ                          eduardo.gonzalez@emerson.com
              FACTURAS DLLS                             daniel.invoice@emerson.com
    1213   ASFALTOS DE LA FRONTERA S.A DE C.V
              ASFALTOS DE LA FRONTERA                   nohemi@asfaltosdelafrontera.com.mx
    1216   PRODUCTORA DE QUESOS SIERRA VERDE S.C.L.
              PRODUCTORA DE QUESOS SIERRA VERDE         facturacion@gruposierraverde.com
              PRODUCTORA DE QUESOS SIERRA VERDE         bernardo@gruposierraverde.com
    1219   JORGE ALBERTO MIRELES VÁZQUEZ
              JORGE ALBERTO MIRELES                     jorge.mireles@gmail.com
    1220   ABRAM OLFERT KRAHN
              ABRAM OLFERT KRAHN                        olfert@prodigy.net.mx
    1221   FRISA FORJADOS S.A DE C.V
              FRISA                                     acobarrubias@frisa.com
              FRISA                                     arivera@frisa.com
              FRISA                                     jlsaucedo@frisa.com
    1222   SERVICIOS DE TECNOLOGÍA DE ALIMENTOS Y NUTRICIÓN S. DE R.L M.I
              SERVICIO DE TECNOLOGIA DE ALIMENTOS       clientes@alimentosynutricion.com
    1223   BIO TECH INDUSTRIES S.A DE C.V
              BIO TECH                                  biotech.cxpagar@gmail.com
    1224   COMPAÑÍA AGRÍCOLA INDUSTRIAL SANTA ANA, S.A
              COMPAÑIA AGRICOLA INDUSTRIAL SANTA ANA    evalenzuela@santaana.com.gt
    1226   HPP SYSTEMS DE MÉXICO, S.A DE C.V
              CXP                                       cvadillo@hppelzer.com.mx
              HPP                                       yhernandez@hppelzer.com.mx
    1227   IMPULSORA PROMOTORA DEL NORTE S.A DE C.V
              IMPOLSORA PROMOTORA DEL NORTE             cuentasporpagar@qualityinnchihuahua.com
    1229   JOSE EDUARDO MILAN MONTENEGRO
              JOSE EDUARDO MILAN MONTENEGRO             recepcion@milec.com.mx
    1231   DS SERVICIOS PETROLEROS S.A DE C.V.
              DS SERVICIOS PETROLEROS                   jorgecastro@dssp.com.mx
    1232   JTC TORNILLOS Y RESORTES SA DE CV
              GENARO SANCHEZ                            jtccompras@tornillosyresortes.com
    1233   SOPORTES Y SERVICIOS QUIMICOS SR SA DE CV
              SAM CRUZ                                  sam.cruz@ssqsr.com
    1235   QUÍMICA BGEM S.A DE C.V
              HECTOR ROGELIO                            hector.rogelio@biograssextra.com
    1236   MAGNELEC, S.A DE C.V.
              LILIANA SANCHEZ                           ap_qr@penoles.com.mx
    1238   RENYSON DE MÉXICO S.A DE C.V.
              RENYSON                                   mchavira@renyson.com
    1239   ELECTRO COMPONENTES DE MÉXICO, S.A DE C.V
              GUILLERMO GUERRERO                        guillermo.guerrero@ecintl.com
    1243   MISSOURI STATE UNIVERSITY
              DR MELIDA GUTIERREZ                       MGutierrez@missouristate.edu
    1245   CLARIMEX S.A. DE C.V.
              CLARIMEX                                  mquiroz@clarimex.com
    1246   FUNDICION AGUILAS S.A. DE C.V.
              E CANO                                    ecano@fundicionaguilas.com
              J GUERRERO                                jguerrero@fundicionaguilas.com
    1247   SINQUIMICA, S.A DE C.V.
              SINQUIMICA                                calidad_sinquimica@quimia.com.mx
    1250   HOME INTERIORS DE MÉXICO S. DE R.L. DE C.V.
              HOME INTERIORS                            ccavazos@homeinteriors.com.mx
    1251   JARA INGENIEROS Y ARQUITECTOS S.A DE C.V
              MANUEL JARA                               mjarad10@gmail.com
    1256   CHOVATEK SA DE CV
              JUAN CARLOS HERNÁNDEZ VARELA              jhernandez@thermotek.com.mx
    1257   INDUSTRIAL BLOQUERA MEXICANA, S.A DE C.V
              INDUSTRIAL BLOQUERA MEXICANA              sistemaiso9001@industrialbloquera.com.mx
    1258   MINAS STA MARÍA DE MORIS S.A. DE C.V.
              MINAS                                     julio.palma@hocplc.com
    1261   SERVICIOS DE MANUFACTURA Y DESARROLLO S.A DE C.V
              CXC                                       Recepcion_CFD_shelter@intermex.com
    1262   ARMENDARIZ MORAN CONSULTORES, S.C
              CARMEN MENDEZ                             carmenml@armendariz-asociados.com.mx
    1273   NELLCOR PURITAN BENNET MÉXICO, S.A DE C.V
              CXP                                       Yolanda.Mata@Covidien.com
    1281   CENTRO DE INVESTIGACIÓN Y DOCENCIA ECONÓMICAS, A.C.
              JUAN MANUEL RAMIREZ                       juanmanuel.ramirez@cide.edu
              JUAN MANUEL RAMIREZ                       jmramriv@gmail.com
    1304   INSTITUTO DE PEDAGOGÍA CRÍTICA, S.C.
              ROMELIA HINOJOSA                          romehinojosa@hotmail.com
    1305   DDR MEXICO, S.A. DE C.V.
              CARLOS FLORES                             carlos.flores@ddrmexico.com
    1306   TELÉFONOS DEL NOROESTE, S.A. DE C.V.
              GERARDO MORA                              gemo@telnor.com
    1392   DESARROLLO ECONOMICO DEL ESTADO DE CHIHUAHUA, A.C.
              CENIA SILVIA CHAPARRO                     cenia.chaparro@desec.org.mx
    1398   MARIA DEL ROSARIO BARAY GUERRERO
              MARIA DEL ROSARIO BARAY GUERRERO          rosariobaray@yahoo.com.mx
    1409   INSTALACIONES Y DISEÑOS ELÉCTRICOS DE CHIHUAHUA, S. A DE C.V
              SANDRA HINOJOS                            sandrahinojos@idechisa.com
    1443   IIPROME S.A DE C.V.
              IIPROME                                   iiprome@prodigy.net.mx
    1444   BRENDA MARIEL CERVANTES ESPINOZA
              JESUS RUBIO                               alexrubio15@hotmail.com
    1492   CONSTRUCTORA Y ACABADOS LERMA S.A DE C.V.
              CXC                                       pasgos@constructoralerma.com
